,pl_orbper,pl_rade,pl_tranmid,pl_trandep,st_teff,st_rad,st_logg,ra,dec,target
0,9.48803557,2.26,2455003.53875,615.8,5455.0,0.927,4.467,291.93423,48.141651,2
1,54.4183827,2.83,2454995.51384,874.8,5455.0,0.927,4.467,291.93423,48.141651,2
2,19.89913995,14.6,2455008.850252,10829.0,5853.0,0.868,4.544,297.00482,48.134129,1
3,1.736952453,33.46,2455003.307565,8079.2,5805.0,0.791,4.564,285.53461,48.28521,0
4,2.525591777,2.75,2455004.59555,603.3,6031.0,1.046,4.438,288.75488,48.2262,2
5,11.09432054,3.9,2455004.20116,1517.5,6046.0,0.972,4.486,296.28613,48.22467,2
6,4.13443512,2.77,2455005.97937,686.0,6046.0,0.972,4.486,296.28613,48.22467,2
7,2.56658897,1.59,2455012.55437,226.5,6046.0,0.972,4.486,296.28613,48.22467,2
8,7.36178958,39.21,2454965.25053,233.7,6227.0,1.958,3.986,298.86435,42.151569,0
9,16.06864674,5.76,2455006.621937,4914.3,5031.0,0.848,4.485,286.99948,48.37579,2
10,2.470613377,13.04,2454955.763305,14231.0,5820.0,0.964,4.457,286.80847,49.316399,2
11,2.204735417,16.1,2454954.3585417,6674.7,6440.0,1.952,4.019,292.24728,47.969521,2
12,3.522498429,14.59,2454954.1194228,9145.7,6225.0,1.451,4.169,281.28812,42.45108,2
13,3.709214104,1.16,2454966.98318,131.1,5833.0,1.022,4.407,295.64871,48.49556,2
14,11.521446064,150.51,2455003.839688,17984.0,5795.0,0.848,4.554,297.07993,47.597401,0
15,19.40393776,7.18,2455005.484253,8918.7,5043.0,0.68,4.591,289.25821,47.635319,0
16,19.221388942,49.29,2455017.5521637,74284.0,6117.0,0.947,4.496,295.81454,47.69035,0
17,16.46983774,7.94,2455013.881761,10479.0,5152.0,0.786,4.517,297.15442,47.668701,0
18,9.27358173,2.47,2455006.258155,1288.3,4856.0,0.696,4.583,288.13824,47.724449,2
19,6.02930329,2.85,2455004.602959,1912.7,4537.0,0.672,4.648,283.71088,47.86327,2
20,2.696370652,1.58,2455003.73769,397.9,4989.0,0.819,4.504,283.76547,47.804298,0
21,5.349553819,2.55,2455004.80694,831.0,5185.0,0.91,4.44,292.37613,47.880989,2
22,3.94105221,1.7,2454969.08662,363.3,5185.0,0.91,4.44,292.37613,47.880989,2
23,8.10904807,1.3,2454965.8031,217.4,5185.0,0.91,4.44,292.37613,47.880989,2
